Location (ns?)	Amplitude (V)
 0.07529	783.32222
 0.10967	796.21429
 0.07978	801.76667
 5.23881	820.49098
 0.12629	840.41351
 0.06135	852.70000
 0.10000	861.50000
 0.09921	883.50000
 0.08075	893.50000
 0.06225	899.50000
 0.07249	901.05000
 0.11550	914.50000
 0.08444	925.80769
 0.10207	933.93636
 0.08380	942.37368
 0.09980	959.37368
 0.06788	982.96667
 0.11724	991.22000
 0.12437	1011.04400
 0.11353	1029.58000
 0.09649	1041.05000
 0.07033	1048.82000
 5.15682	1072.62255
 0.10240	1102.16667
 0.08161	1111.72857
 0.10201	1120.07778
 0.06497	1130.95714
 0.10085	1140.05385
 0.10752	1161.63333
 0.12049	1183.05000
 5.15324	1211.66071
 0.10313	1236.23333
 4.95903	1251.00462
 0.11881	1264.08095
 0.09994	1270.78889
 0.10621	1274.11176
 0.12808	1283.30000
 0.12323	1308.26923
 0.08606	1319.01429
 0.10934	1325.31176
 0.08547	1335.30000
 0.07743	1339.30000
 0.09310	1348.10000
 0.10887	1354.15714
 0.08898	1365.94000
 0.12194	1384.98235
 0.12425	1404.50000
 0.08567	1423.21429
 0.10936	1432.08261
 5.26454	1457.39560
 0.11802	1483.43333
 0.12887	1503.19231
 0.12602	1504.56667
 0.11375	1512.50000
 0.09697	1522.95714
 0.10291	1544.23333
 0.10602	1547.10000
 5.25401	1565.47719
 0.11654	1587.66000
 0.07739	1599.30000
 0.11055	1605.90000
 0.11485	1610.28667
 0.09556	1628.23333
 0.10000	1639.79474
 0.12312	1657.32857
 0.09188	1665.03333
 0.08728	1709.24286
 0.12765	1718.75366
 5.27212	1739.36667
 0.10313	1763.23333
 0.10350	1777.50000
 0.12931	1781.82000
 0.09929	1795.32222
 0.11394	1800.04286
 0.11746	1802.21765
 0.10339	1820.69200
 0.05182	1849.94000
 5.23258	1865.42141
 0.09929	1883.67778
 0.11850	1896.50000
 0.11330	1916.35882
 0.11161	1919.31818
 0.09920	1939.40526
 0.10027	1952.56667
 0.09964	1957.03333
 0.07400	1967.50000
 0.14959	1976.06000
 0.11704	1995.62000
 0.13046	2007.69459
 0.10433	2015.36207
 0.12679	2033.03333
 0.11300	2052.11538
 0.07400	2065.50000
 0.12640	2079.16667
 0.11011	2095.80000
 0.07520	2105.16667
 0.09584	2117.19333
 0.07033	2123.82000
 0.05335	2127.70000
 0.09415	2135.70000
 0.07485	2145.28667
 0.09334	2155.03846
 0.05379	2161.64545
 0.11331	2173.18000
 0.10127	2191.40588
 0.08983	2216.28182
 0.09481	2234.34000
 0.09379	2247.35455
 0.10084	2249.46000
 0.10044	2254.19231
 0.11127	2273.98000
 0.12335	2294.38000
 0.08388	2310.03333
 0.06696	2323.30000
 0.09481	2328.34000
 0.07405	2338.30000
 0.08375	2347.50000
 0.09507	2350.12667
 0.07131	2360.37200
 0.10618	2394.00909
 0.08655	2411.90000
 0.09868	2414.70000
 0.09050	2430.50000
 0.08200	2446.50000
 0.10924	2452.22000
 0.11059	2470.67778
 0.10258	2484.90000
 5.23803	16.62424
 0.13829	27.39600
 3.44097	47.38783
 0.13898	65.82000
 0.13019	70.90000
 5.29807	91.46490
 0.09552	105.05556
 0.09339	106.70000
 0.09988	112.96667
 0.16485	129.05385
 0.14159	146.06000
 0.11700	165.50000
 0.14526	183.54706
 0.08805	193.65000
 5.22231	209.71700
 0.14090	231.86842
 0.13000	243.46667
 0.09855	252.36667
 0.13014	261.46000
 0.08663	272.22727
 0.13178	280.20909
 0.10075	300.50000
 0.11346	308.04783
 0.08524	318.55714
 0.14873	324.83103
 0.10810	343.70000
 0.08321	349.50000
 0.10307	354.12667
 0.09027	357.66000
 0.09073	362.30000
 0.09901	363.43333
 0.10756	374.21200
 0.10619	381.92857
 0.07364	389.10000
 0.10356	399.87778
 0.06838	409.90000
 0.09165	414.10000
 0.10159	426.06000
 0.09226	431.56154
 0.10529	446.78000
 0.11093	453.40667
 5.23186	468.51365
 0.08726	485.41111
 0.07779	490.64545
 0.08444	495.19231
 0.08983	499.71818
 0.14133	522.00345
 0.13920	534.16667
 0.13200	552.79474
 0.08375	561.50000
 0.09389	563.20909
 0.15776	572.46279
 0.11029	580.38571
 0.08543	600.30000
 0.09498	604.60000
 0.09498	607.40000
 0.12988	621.32222
 0.09940	640.96667
 0.07361	648.50000
 0.06790	651.16667
 0.09310	661.92857
 0.09885	663.71333
 0.10451	680.43846
 0.07300	697.11538
 0.06782	696.06000
 0.09775	703.15714
 5.23207	722.64839
 0.10850	753.50000
 0.10255	754.90000
 0.11055	759.10000
 0.11515	767.98889
 0.11626	781.43846
 0.13883	786.37097
 0.12676	799.55333
 0.10729	805.32222
 0.14881	817.68222
 5.11302	830.84184
 5.20711	847.64074
 0.11578	863.79091
 0.13258	877.22414
 0.13168	895.10000
 0.08567	903.78571
 0.09343	916.70000
 0.12658	923.90000
 0.09578	931.12222
 0.09401	932.60000
 0.11469	942.30000
 0.13481	952.91905
 0.10900	972.54000
 0.07662	981.06923
 0.13043	990.95333
 0.08476	999.61429
 5.20681	1015.67995
 0.09407	1049.93636
 0.09014	1054.54000
 0.10725	1067.46800
 0.10979	1087.35455
 5.30607	1109.27937
 0.07156	1119.76667
 0.11326	1127.45294
 0.10764	1145.36667
 0.09262	1158.06923
 0.08539	1160.30000
 0.12175	1173.67143
 0.10255	1190.10000
 0.10263	1196.22727
 0.12662	1214.84286
 0.09481	1222.34000
 0.09552	1225.03333
 0.13053	1235.77273
 5.26210	1250.57097
 0.10211	1272.20000
 0.10575	1274.15714
 0.08756	1284.23333
 0.08510	1286.10000
 0.13259	1293.34615
 0.07364	1304.90000
 0.10934	1313.68824
 0.12130	1322.64118
 0.12164	1339.41429
 0.11700	1352.46000
 5.22332	1367.58840
 0.09409	1379.90000
 0.07588	1383.03333
 0.12221	1389.88824
 0.08329	1400.32222
 0.12647	1411.22000
 0.10356	1423.27778
 0.08975	1429.84286
 0.09312	1431.70000
 0.09078	1440.30000
 0.09379	1442.64545
 0.09675	1448.50000
 0.14693	1463.06000
 0.11274	1480.74615
 0.09094	1488.90000
 0.08631	1493.08182
 0.07507	1497.70000
 0.07602	1501.60000
 0.11550	1512.50000
 0.10678	1520.39333
 0.11081	1529.66000
 0.09010	1538.66667
 0.08282	1546.30000
 0.08926	1547.54706
 0.07259	1553.26000
 0.09827	1559.34000
 0.07830	1567.00000
 0.08752	1570.05556
 0.08837	1577.25385
 0.11972	1589.24545
 0.07952	1596.94444
 0.12033	1608.70000
 0.11181	1620.11600
 0.07687	1628.15714
 0.09194	1647.21111
 0.09921	1652.50000
 0.09980	1660.37368
 0.11000	1669.50000
 0.09042	1686.98000
 0.08655	1689.10000
 0.09194	1699.21111
 0.10858	1700.22414
 0.14785	1710.63714
 0.08562	1722.87647
 0.08930	1731.35882
 0.08125	1732.81429
 0.08274	1740.87143
 0.07691	1754.90000
 0.09503	1759.99524
 0.09362	1769.66000
 0.10388	1779.21111
 0.13811	1790.20370
 0.09027	1805.66000
 0.09202	1809.75333
 0.12245	1821.08519
 0.07427	1833.66000
 0.08556	1838.67143
 0.08640	1841.82000
 0.10725	1854.50000
 0.10135	1856.30000
 3.66396	1865.29115
 0.07862	1876.84286
 0.09165	1888.10000
 0.11037	1909.15882
 0.11490	1927.68065
 0.06583	1931.90000
